player_name,team,date_of_birth,age,marital_status,number_of_kids,nationality,country_of_birth,position,preferred_foot,height_cm,weight_kg,jersey_number,injury_status,agent,matches_played,minutes_played,goals,assists,tackles,interceptions,saves,clean_sheets,yellow_cards,red_cards,passing_accuracy,shot_accuracy,previous_club,years_at_club,contract_end_year,average_salary_zar,market_value_zar,signing_bonus_zar,release_clause_zar
Siyanda Dlamini,Stellenbosch FC,1995-05-28,30,Widowed,0,South African,South African,Defender,Right,167,71,35,Recovering,SA Elite Agents,53,2650,9,12,55,90,0,0,12,3,80.4,83.7,Highlands Park,1,2026,192131.91,2797081.46,1880343.96,44317064.33
Thabo Ndlovu,Cape Town City,2004-06-01,21,Single,1,Zimbabwean,Zimbabwean,Forward,Right,183,73,40,Recovering,SoccerLink Africa,272,23120,98,28,28,8,0,0,2,1,93.1,68.4,Highlands Park,5,2030,266951.18,18801129.31,1693363.96,47490263.62
Vusi Molefe,Stellenbosch FC,2006-09-20,19,Single,0,Nigerian,Nigerian,Forward,Left,167,66,65,Recovering,PlayerFirst,398,21890,99,77,0,8,0,0,8,0,81.7,79.0,Black Leopards,1,2026,131890.68,3624647.28,650508.19,40959706.96
Thembi Mahlangu,Bloemfontein Celtic,2004-02-08,21,Divorced,0,Zambian,Zambian,Goalkeeper,Left,166,93,24,Injured,None,135,7965,1,6,20,12,189,46,17,0,74.0,42.9,None,4,2029,324162.11,7651200.06,1514160.54,15710316.37
Nokuthula Sithole,Polokwane City,2003-03-18,22,Divorced,3,Nigerian,Nigerian,Goalkeeper,Both,193,88,79,Injured,SoccerLink Africa,116,6032,2,1,24,73,29,25,7,2,87.1,74.0,Black Leopards,1,2026,315339.82,17360054.33,1140922.15,6912438.75
Thembi Sithole,Kaizer Chiefs,1989-02-14,36,Married,2,Nigerian,Nigerian,Goalkeeper,Left,193,79,54,Healthy,ProSport,279,18135,3,12,23,55,3,14,12,0,86.1,70.7,Bidvest Wits,5,2030,131190.53,21746276.59,1064027.17,10912232.05
Siyanda Mahlangu,Chippa United,1989-12-09,36,Single,0,Zambian,Zambian,Defender,Both,181,67,27,Healthy,SoccerLink Africa,18,1224,6,5,112,4,0,0,11,3,92.9,54.2,None,1,2026,30139.73,20238813.99,1137007.79,48788927.0
Lerato Mashaba,Polokwane City,1998-01-31,27,Widowed,0,Ghanaian,Ghanaian,Forward,Right,181,65,85,Healthy,None,241,19521,77,27,23,20,0,0,4,3,76.9,68.5,Jomo Cosmos,4,2029,116974.12,24003387.28,1941663.04,47327816.48
Nomsa Mahlangu,Polokwane City,1991-07-16,34,Divorced,0,Malawian,Malawian,Forward,Left,171,81,83,Recovering,PlayerFirst,322,28980,80,0,2,17,0,0,16,2,83.6,56.1,None,1,2026,181654.11,19997955.16,96251.72,6646508.79
Tumelo Khumalo,Kaizer Chiefs,1996-08-28,29,Married,4,Malawian,Malawian,Forward,Both,175,95,62,Healthy,None,252,20664,48,24,19,3,0,0,4,1,85.3,46.0,None,2,2027,240976.69,20475239.98,1669544.26,2163905.51
Gugu Molefe,TS Galaxy,2007-01-29,18,Widowed,0,South African,South African,Defender,Left,188,85,32,Recovering,None,379,30320,7,8,38,14,0,0,0,3,77.7,83.2,Free State Stars,5,2030,79461.57,1975907.66,1429230.17,4553471.33
Thembi Mokoena,Stellenbosch FC,1995-07-03,30,Widowed,0,Zimbabwean,Zimbabwean,Goalkeeper,Right,175,92,42,Healthy,SoccerLink Africa,296,16872,1,0,15,3,196,29,17,0,74.6,56.7,Jomo Cosmos,1,2026,110539.22,22695472.84,750352.35,10532047.69
Thabo Sithole,Bloemfontein Celtic,2000-12-17,25,Single,0,Zimbabwean,Zimbabwean,Midfielder,Both,173,61,37,Recovering,ProSport,229,19923,14,36,116,95,0,0,3,2,90.6,80.6,Black Leopards,1,2026,83518.56,4778507.37,1895885.41,33869195.8
Gugu Mabena,SuperSport United,2000-09-19,25,Widowed,0,Zambian,Zambian,Goalkeeper,Right,176,68,96,Healthy,None,155,11625,4,7,4,3,187,5,3,1,86.9,80.0,Bidvest Wits,2,2027,314670.05,4723732.14,254713.0,35082032.22
Kagiso Phiri,Bloemfontein Celtic,1990-06-30,35,Divorced,0,Zambian,Zambian,Midfielder,Both,173,93,61,Recovering,SoccerLink Africa,175,12600,41,78,9,66,0,0,11,3,91.0,73.2,Bidvest Wits,1,2026,153045.25,13444410.38,543080.03,13806693.9
Thembi Tshabalala,Cape Town City,2003-01-22,22,Married,4,Ghanaian,Ghanaian,Defender,Both,195,84,48,Healthy,ProSport,324,19764,7,8,72,2,0,0,6,2,71.5,76.7,Baroka FC,1,2026,220572.41,4930884.9,1785677.41,22492731.79
Sibusiso Molefe,Bloemfontein Celtic,2004-05-31,21,Widowed,0,Ghanaian,Ghanaian,Midfielder,Right,194,67,93,Healthy,SoccerLink Africa,349,27222,48,73,146,57,0,0,10,1,75.9,51.1,None,5,2030,102237.69,16465329.64,1991441.08,44974460.85
Lerato Tshabalala,Royal AM,1992-10-24,33,Married,1,Malawian,Malawian,Goalkeeper,Both,188,75,57,Recovering,SA Elite Agents,168,11256,10,14,29,60,63,23,17,0,88.4,56.8,Baroka FC,4,2029,63496.23,2622214.92,1921854.35,47418762.29
Kagiso Tshabalala,Sekhukhune United,2006-09-12,19,Widowed,1,Zambian,Zambian,Midfielder,Both,185,83,67,Injured,None,375,28125,36,8,137,23,0,0,11,0,81.2,64.4,Baroka FC,2,2027,321105.17,11218058.2,641334.76,9826473.88
